mp_no,mp_name,mp_state,works,sanctioned,completed,recommended_total,sanctioned_total,disbursed_total,spent_total,alloc_limit,stalled,zero_disbursal,dup_leads,anomalies,avg_risk_per_work,spend_pct_alloc,cumulative_risk_points,risk_rank
18173.0,THARANIVENTHAN M S,Tamil Nadu,69,50,24,36045938.0,32645938.0,10773587.0,6224020.0,168337124.35,16,26,0,1,15.942028985507246,3.697354356047606,102,50
146.0,Mukul Wasnik,Rajasthan,81,31,30,50784112.0,42550195.0,35674620.0,24053046.0,196063957.11,13,14,0,17,13.271604938271604,12.2679590652683,101,51
761.0,Arvind Dharmapuri,Telangana,270,62,220,51586441.0,24003343.0,70885882.0,8408635.0,281396355.11,7,20,7,6,3.4814814814814814,2.9881819175351434,101,52
582.0,Prabhubhai Nagarbhai Vasava,Gujarat,58,29,13,14563584.0,6552484.0,3829777.0,5114791.0,147000000.0,13,20,5,0,16.896551724137932,3.479449659863946,99,53
107.0,Sumitra Balmik,Madhya Pradesh,59,36,32,42864948.0,39655566.0,40017517.0,10889920.0,196063957.11,9,11,4,17,16.52542372881356,5.554269209149085,99,54
186.0,Arun Singh,Uttar Pradesh,43,35,19,73493294.0,73493294.0,36777145.0,12286209.0,223492764.11,12,16,0,15,24.186046511627907,5.497363213939624,98,55
18155.0,DR. RAJ KUMAR CHABBEWAL,Punjab,93,36,26,9298000.0,8500000.0,11128572.0,7106605.0,147000000.0,18,18,0,4,11.505376344086022,4.834425170068028,98,56
139.0,S. Selvaganabathy,Puducherry,46,25,19,87478166.0,57949289.0,38810541.0,31299582.0,292881856.49,3,8,0,33,20.108695652173914,10.686760311855876,91,57
18322.0,NALIN SOREN,Jharkhand,43,19,1,7000000.0,7000000.0,450000.0,3837500.0,147364097.11,18,18,0,0,23.023255813953487,2.60409426397496,90,58
18245.0,BAG MITALI,West Bengal,31,20,1,11231376.0,8842136.0,500000.0,3457026.0,147000000.0,13,19,2,0,28.548387096774192,2.3517183673469386,85,59
18250.0,SK NURUL ISLAM,West Bengal,18,18,3,35118648.0,35118648.0,9497831.0,0.0,49000000.0,4,15,3,15,45.27777777777778,0.0,84,60
195.0,B.L. Verma,Uttar Pradesh,348,277,330,70796285.09,67465735.09,64757741.09,1232185.0,196063957.11,15,16,0,3,2.6005747126436782,0.6284607421794987,83,61
386.0,Shri Hanuman Beniwal,Rajasthan,167,149,139,42252197.0,40183615.0,36306197.0,6598170.0,147000000.0,16,16,0,1,5.389221556886228,4.488551020408163,82,62
18339.0,KARAN BHUSHAN SINGH,Uttar Pradesh,34,18,16,26454989.0,26454989.0,22893876.0,3000018.0,147000000.0,15,15,0,2,25.441176470588236,2.0408285714285714,79,63
485.0,Pratima Mondal,West Bengal,92,66,54,32974236.0,26288374.0,19049872.0,874827.0,147000000.0,8,25,0,2,8.91304347826087,0.5951204081632653,78,64
243.0,Kakoli Ghosh Dastidar,West Bengal,46,40,4,34051271.0,28571271.0,2986922.0,785253.0,147000000.0,0,36,0,2,16.52173913043478,0.5341857142857143,76,65
18065.0,DEEPENDER SINGH HOODA,Haryana,45,24,9,17835592.0,16235592.0,5475246.0,10673498.0,147000000.0,10,17,0,6,18.0,7.260882993197279,76,66
849.0,Geeta alias Chandraprabha,Uttar Pradesh,173,115,166,115960207.35,72905282.35,112199634.35,0.0,196063957.11,4,4,0,26,4.277456647398844,0.0,72,67
413.0,Alok Kumar Suman,Bihar,25,1,1,18942374.0,1032374.0,1032374.0,3735556.0,147000000.0,0,0,18,0,18.0,2.541194557823129,72,68
370.0,Shri Jual Oram,Odisha,83,22,9,38488256.0,13150000.0,4600000.0,11831569.0,173096756.91,13,16,0,0,9.337349397590362,6.835234357482337,71,69
189.0,Kapil Sibal,Uttar Pradesh,62,30,22,43165507.0,34167504.0,20857918.12,10386657.0,196063957.11,8,9,0,14,11.935483870967742,5.297586131127943,70,70
18271.0,JAGADISH CHANDRA BARMA BASUNIA,West Bengal,35,35,0,20535060.0,20535060.0,0.0,0.0,168604641.11,0,35,0,0,20.0,0.0,70,71
52.0,Satish Chandra Dubey,Bihar,74,56,62,43438727.0,45338727.0,53438051.0,4965885.0,235263957.11,7,8,0,14,9.256756756756756,2.1107716885328727,65,72
187.0,Javed Ali Khan,Uttar Pradesh,135,122,112,48790552.0,48790552.0,49736546.0,2129378.0,196063957.11,11,11,0,4,5.074074074074074,1.0860629517975764,63,73
18112.0,BALWANT BASWANT WANKHADE,Maharashtra,47,15,0,19841000.0,17641000.0,0.0,27782086.0,198293678.0,10,15,0,0,13.829787234042554,14.010575768330849,60,74
823.0,Ms Mahua Moitra,West Bengal,26,21,10,35958802.0,35958802.0,3428664.0,12182360.0,159865046.0,10,11,0,4,25.0,7.6204025237637,60,75
15.0,R. Dharmar,Tamil Nadu,134,83,117,141435819.0,97636745.0,133635731.0,8586069.0,260812242.52,0,0,0,29,4.3283582089552235,3.292049835176579,58,76
7.0,Mahua Maji,Jharkhand,164,93,143,81805632.0,47818988.0,77069695.0,0.0,232524001.2,11,11,0,1,3.8109756097560976,0.0,57,77
14.0,Ilaiyaraaja,Tamil Nadu,19,19,10,31482615.0,31482615.0,9101464.0,0.0,220563957.11,3,9,0,15,30.789473684210527,0.0,57,78
18314.0,GURMEET SINGH MEET HAYER,Punjab,61,19,9,3149434.0,3149434.0,1342131.0,7030090.0,147000000.0,10,10,0,3,10.0,4.782374149659864,56,79
18311.0,MALVINDER SINGH KANG,Punjab,76,18,16,14862943.0,8018662.0,8512011.0,11109074.0,147000000.0,10,10,0,3,8.026315789473685,7.557193197278912,56,80
18353.0,RACHNA BANERJEE,West Bengal,24,23,2,19742891.0,19742891.0,1375238.0,290242.0,147000000.0,4,22,0,0,24.166666666666668,0.19744353741496598,56,81
183.0,Ram Gopal Yadav,Uttar Pradesh,45,28,22,81237169.0,68740169.0,62640169.0,34327230.0,221271395.11,3,6,0,17,12.555555555555555,15.513632018695866,55,82
641.0,Gajendra Singh Patel,Madhya Pradesh,113,39,77,38471465.0,18584057.0,20593907.0,650000.0,147000000.0,8,15,0,0,5.132743362831858,0.44217687074829937,54,83
745.0,K Subbarayan,Tamil Nadu,39,29,9,39914923.0,38414923.0,9131957.0,11637562.0,147000000.0,0,22,0,5,13.846153846153847,7.916708843537415,54,84
352.0,Shri Hibi Eden,Kerala,19,16,0,21660186.0,20252776.0,0.0,1018722.0,162177260.11,0,16,2,7,26.842105263157894,0.6281534163969913,54,85
18023.0,BIJULI KALITA MEDHI,Assam,54,21,5,28150000.0,21300000.0,6650000.0,4973108.0,147000000.0,4,19,0,2,10.37037037037037,3.3830666666666667,54,86
18307.0,Piyush Vedprakash Goyal,Maharashtra,16,13,0,28500000.0,26500000.0,0.0,14888010.0,147000000.0,0,13,0,13,32.5,10.127897959183674,52,87
1.0,Shambhu Sharan Patel,Bihar,94,39,68,87664017.0,47497302.0,81370040.0,12610000.0,237168443.49,1,2,0,22,5.4787234042553195,5.316896217068477,51,88
18199.0,LALJI VERMA,Uttar Pradesh,51,40,29,32618406.0,32118406.0,22040232.0,5641067.0,147000000.0,9,11,0,0,10.490196078431373,3.837460544217687,49,89
18021.0,RAKIBUL HUSSAIN,Assam,29,16,4,10450000.0,8000000.0,2000000.0,3069906.0,147000000.0,5,12,2,1,16.724137931034484,2.0883714285714285,49,90
394.0,Shri vijayakumar Vasanth,Tamil Nadu,19,11,0,12850000.0,12850000.0,0.0,6925562.0,171500000.0,6,11,0,4,26.842105263157894,4.038228571428571,48,91
18180.0,ARUN NEHRU,Tamil Nadu,22,1,1,13645000.0,3460000.0,784659.0,13978908.0,147000000.0,0,1,11,1,14.318181818181818,9.509461224489796,48,92
18176.0,SACHITHANANTHAM R,Tamil Nadu,37,20,7,29545582.0,24546328.0,12037363.0,23270088.0,147000000.0,6,14,0,1,13.783783783783784,15.829991836734694,48,93
423.0,Ramprit Mandal,Bihar,40,37,18,37910451.0,39099471.0,17941862.0,0.0,147000000.0,0,22,0,1,11.5,0.0,46,94
53.0,Khiru Mahto,Bihar,98,77,90,47381895.0,47381895.0,71445823.0,2801236.0,235770091.81,6,6,0,8,5.0,1.1881218599420282,46,95
18106.0,SHIVMANGAL SINGH TOMAR,Madhya Pradesh,44,13,28,16400000.0,10400000.0,7818529.0,0.0,147000000.0,9,9,0,0,11.25,0.0,45,96
18058.0,DR. HEMANG JOSHI,Gujarat,40,9,1,9581868.0,10206868.0,300000.0,13986198.0,147000000.0,9,9,0,0,12.375,9.514420408163266,45,97
18183.0,MURASOLI S,Tamil Nadu,36,26,14,43840042.0,42340042.0,18547936.0,6028349.0,147000000.0,2,14,0,5,12.5,4.10091768707483,44,98
21.0,Ajay Bhatt,Uttarakhand,68,0,1,0.0,0.0,251547.0,9739476.0,147000000.0,0,0,0,22,6.470588235294118,6.625493877551021,44,99
18257.0,ABHIJIT GANGOPADHYAY,West Bengal,51,16,12,6997450.0,6997450.0,3986712.7800000003,10268660.0,147000000.0,8,9,0,0,9.019607843137255,6.985482993197278,42,100
103.0,Kavita Patidar,Madhya Pradesh,118,93,95,50081094.0,48681094.0,50826077.0,8874689.0,197118521.35,6,6,0,6,3.8135593220338984,4.5022096042625375,42,101
