work_id,mp_no,fy,work_no,mp_name,mp_state,state,constituency,work_category,work_desc,work_status,recommended_date,recommended_amount,sanction_date,sanction_amount,completion_date,amount_disbursed,exp_pay_count,exp_total,exp_inprogress,exp_paid,exp_vendors,alloc_limit,calamity_consent,is_recommended,is_sanctioned,is_completed,has_expenditure,dup_partner_count,dup_partner_sim_max,dup_partner_cross_fy,has_duplicate_lead,anomaly_score,is_anomaly,flag_unparseable,flag_stalled,flag_incomplete,flag_sanction_overrun,flag_zero_disbursal,flag_cost_overrun,reasons,risk_score,is_flagged,fraud_type,fraud_priority,fraud_signals,fraud_narrative,legal_route
MP823/2024-2025/137367,823.0,2024-2025,137367.0,Ms Mahua Moitra,West Bengal,West Bengal,KRISHNANAGAR,Normal/Others,"Construction of Chapra Bus Stand at Karimpur Krishnagar Road under Chapra GP, Chapra Block , Nadia.",Vendor Identification,2024-09-05,8800000.0,2024-12-11,8800000.0,,,,,,,,159865046.0,,1,1,0,0,0,0.0,0,False,0.374812328257757,True,False,True,True,False,True,False,"stalled: sanctioned before 2025-01-01, never completed; sanctioned but never completed; sanctioned but zero amount disbursed; anomalous on F1-F4 features (Isolation Forest)",75,True,siphoned_funds,2,"stalled_no_funds,zero_disbursal,anomaly",Work was sanctioned (8800000.0) but has not been completed and has zero amount disbursed.,enforcement - agency investigation
MP823/2024-2025/139548,823.0,2024-2025,139548.0,Ms Mahua Moitra,West Bengal,West Bengal,KRISHNANAGAR,Normal/Others,"Construction of Culvert at Nichupara Canel Under Matiari Village near the land of Sushanta Das & Jagannath Das under Matiyari Gram Panchayat, Block Kaliganj, Nadia.",Vendor Identification,2024-09-07,6433401.0,2024-12-11,6433401.0,,,,,,,,159865046.0,,1,1,0,0,0,0.0,0,False,0.3525492402845658,True,False,True,True,False,True,False,"stalled: sanctioned before 2025-01-01, never completed; sanctioned but never completed; sanctioned but zero amount disbursed; anomalous on F1-F4 features (Isolation Forest)",75,True,siphoned_funds,2,"stalled_no_funds,zero_disbursal,anomaly",Work was sanctioned (6433401.0) but has not been completed and has zero amount disbursed.,enforcement - agency investigation
MP347/2024-2025/136720,347.0,2024-2025,136720.0,Shri Suresh Kodikunnil,Kerala,Kerala,MAVELIKKARA(SC),Normal/Others,"Construction of bridge across Panayilthode in Kakkottuchal Nedumkottukonam road in Kottavattom North ward-11,Vettikkavala Grama Panchayath (SC)",Work partially Completed,2024-08-22,5400000.0,2024-10-29,5400000.0,,,,,,,,172429519.11,,1,1,0,0,0,0.0,0,False,0.4429316147748694,True,False,True,True,False,True,False,"stalled: sanctioned before 2025-01-01, never completed; sanctioned but never completed; sanctioned but zero amount disbursed; anomalous on F1-F4 features (Isolation Forest)",75,True,siphoned_funds,2,"stalled_no_funds,zero_disbursal,anomaly",Work was sanctioned (5400000.0) but has not been completed and has zero amount disbursed.,enforcement - agency investigation
MP18006/2024-2025/141947,18006.0,2024-2025,141947.0,DAGGUMALLA PRASADA RAO,Andhra Pradesh,Andhra Pradesh,CHITTOOR,Normal/Others,"Construction of 60KL, ELSR at Kondamitta (Vinayakapuram) in wardno.28 in Chittoor Municipal Corporation, Chittoor Constituency.",Physical Inspection,2024-09-23,3100000.0,2024-10-09,3100000.0,,,,,,,,147000000.0,,1,1,0,0,0,0.0,0,False,0.350636885412022,True,False,True,True,False,True,False,"stalled: sanctioned before 2025-01-01, never completed; sanctioned but never completed; sanctioned but zero amount disbursed; anomalous on F1-F4 features (Isolation Forest)",75,True,siphoned_funds,2,"stalled_no_funds,zero_disbursal,anomaly",Work was sanctioned (3100000.0) but has not been completed and has zero amount disbursed.,enforcement - agency investigation
MP792/2024-2025/136736,792.0,2024-2025,136736.0,Jai Prakash,Uttar Pradesh,Uttar Pradesh,HARDOI (SC),Normal/Others,31 ?? 06 ??  170-200 ??? ???????? ???? ?? ????????? ?????,Vendor Identification,2024-08-22,6520794.0,2024-09-23,6520794.0,,,,,,,,147000000.0,,1,1,0,0,0,0.0,0,False,0.4172781309555602,True,False,True,True,False,True,False,"stalled: sanctioned before 2025-01-01, never completed; sanctioned but never completed; sanctioned but zero amount disbursed; anomalous on F1-F4 features (Isolation Forest)",75,True,siphoned_funds,2,"stalled_no_funds,zero_disbursal,anomaly",Work was sanctioned (6520794.0) but has not been completed and has zero amount disbursed.,enforcement - agency investigation
MP18250/2024-2025/139004,18250.0,2024-2025,139004.0,SK NURUL ISLAM,West Bengal,West Bengal,BASIRHAT,Normal/Others,Installation of 7 nos. Arsenic Free Water Tank at different places under Hasnabad Block (SL.No. 6 to 12),Vendor Identification,2024-09-05,2450000.0,2024-12-27,2450000.0,,,,,,,,49000000.0,,1,1,0,0,0,0.0,0,False,0.36598246975475757,True,False,True,True,False,True,False,"stalled: sanctioned before 2025-01-01, never completed; sanctioned but never completed; sanctioned but zero amount disbursed; anomalous on F1-F4 features (Isolation Forest)",75,True,siphoned_funds,2,"stalled_no_funds,zero_disbursal,anomaly",Work was sanctioned (2450000.0) but has not been completed and has zero amount disbursed.,enforcement - agency investigation
MP18250/2024-2025/135269,18250.0,2024-2025,135269.0,SK NURUL ISLAM,West Bengal,West Bengal,BASIRHAT,Normal/Others,Installation of 10 nos. (sl. no.21 to 28) Arsenic Free water tank under Ghoraas Kulingram G.P and Basirhat II P.S,Vendor Identification,2024-08-09,2800000.0,2024-09-23,2800000.0,,,,,,,,49000000.0,,1,1,0,0,0,0.0,0,False,0.47823664177821945,True,False,True,True,False,True,False,"stalled: sanctioned before 2025-01-01, never completed; sanctioned but never completed; sanctioned but zero amount disbursed; anomalous on F1-F4 features (Isolation Forest)",75,True,siphoned_funds,2,"stalled_no_funds,zero_disbursal,anomaly",Work was sanctioned (2800000.0) but has not been completed and has zero amount disbursed.,enforcement - agency investigation
MP18250/2024-2025/135267,18250.0,2024-2025,135267.0,SK NURUL ISLAM,West Bengal,West Bengal,BASIRHAT,Normal/Others,Installation of 10 nos. (sl.no. 1 to 10) Arsenic Free electric based water tank under Falti Beloiaghata G.P and Barasat II P.S,Vendor Identification,2024-08-09,3500000.0,2024-09-19,3500000.0,,,,,,,,49000000.0,,1,1,0,0,1,0.9238,0,False,0.5078281981914616,True,False,True,True,False,True,False,"stalled: sanctioned before 2025-01-01, never completed; sanctioned but never completed; sanctioned but zero amount disbursed; anomalous on F1-F4 features (Isolation Forest)",75,True,siphoned_funds,2,"stalled_no_funds,zero_disbursal,anomaly",Work was sanctioned (3500000.0) but has not been completed and has zero amount disbursed.,enforcement - agency investigation
MP18019/2024-2025/137519,18019.0,2024-2025,137519.0,AMARSING TISSO,Assam,Assam,Diphu (ST),Normal/Others,Installation of Solar Light under Singhason MAC Constituency,Work partially Completed,2024-08-29,5000000.0,2024-11-13,5000000.0,,,,,,,,147000000.0,,1,1,0,0,0,0.0,0,False,0.3530633409337962,True,False,True,True,False,True,False,"stalled: sanctioned before 2025-01-01, never completed; sanctioned but never completed; sanctioned but zero amount disbursed; anomalous on F1-F4 features (Isolation Forest)",75,True,siphoned_funds,2,"stalled_no_funds,zero_disbursal,anomaly",Work was sanctioned (5000000.0) but has not been completed and has zero amount disbursed.,enforcement - agency investigation
MP479/2024-2025/138772,479.0,2024-2025,138772.0,Saumitra khan,West Bengal,West Bengal,BISHNUPUR(SC),Normal/Others,Boundary fencing & 4Nos.of Solar Lights,Physical Inspection,2024-09-04,2774787.0,2024-12-13,2774787.0,,,1.0,2774787.0,0.0,0.0,1.0,147000000.0,,1,1,0,1,0,0.0,0,False,0.49679183285219497,True,False,True,True,False,True,False,"stalled: sanctioned before 2025-01-01, never completed; sanctioned but never completed; sanctioned but zero amount disbursed; anomalous on F1-F4 features (Isolation Forest)",75,True,siphoned_funds,2,"stalled_no_funds,zero_disbursal,anomaly",Work was sanctioned (2774787.0) but has not been completed and has zero amount disbursed.,enforcement - agency investigation
