"Sr. No.","Work Category","Work","State","IDA","Work Description","Hon'ble Members of Parliament","Elected/Nominated","Image","Completion Date","Amount Disbursed ( ₹ )"
"2200","Normal/Others","WS/MP833/2024-2025/16122-Providing drains and gutters for public drainage","Karnataka","CHIKKAMAGALURU(DEPUTY COMMISSIONER CHIKMAGALUR)","Construction of box drain and deck lab adjacent to LIC office at tarikere town.","Shri Jairam Ramesh (2022-28) (NaN-NaN)","Elected MP","Images","24-Jun-2024","600000"
"2201","Normal/Others","WS/MP833/2024-2025/16095-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","CHIKKAMAGALURU(DEPUTY COMMISSIONER CHIKMAGALUR)","Road development at Ashraya badavane at Tarikere Town.(SCP)","Shri Jairam Ramesh (2022-28) (NaN-NaN)","Elected MP","Images","24-Jun-2024","2500000"
"2202","Normal/Others","WS/MP165/2024-2025/96026-Street lights","Tamil Nadu","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Construction of Mini mast light at Ward No.2, Keelaperumal kovil north side","Shri P. Chidambaram (2022-28) (NaN-NaN)","Elected MP","Images","26-Jun-2024","491278"
"2203","Normal/Others","WS/MP052/2023-2024/18582-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","PASHCHIM CHAMPARAN(DISTRICT PLANNING OFFICER WEST CHAMPARANBETTIAH_IDA)","PCC road construction work in the path going from the hut of Shri Bawan Dash to the barn of Shri Ravindra Sah in village Somgarh of village Panchayat Raj Somgarh of block Narkatiaganj. Established Amount Rs. 9 lacs","Shri Satish Chandra Dubey (2022-28) (NaN-NaN)","Elected MP","N/A","16-Dec-2024","997095"
"2204","Normal/Others","WS/MP052/2023-2024/92280-Fitting of Sitting RCC Benches in Public Places","Bihar","PASHCHIM CHAMPARAN(DISTRICT PLANNING OFFICER WEST CHAMPARANBETTIAH_IDA)","Construction of platform on public land near Brahmasthan in Village Lediharwa Ward No. 9 of Gram Panchayat State Dumaria of Block Narkatiaganj. Estimated Amount Rs. 262000.","Shri Satish Chandra Dubey (2022-28) (NaN-NaN)","Elected MP","N/A","16-Dec-2024","259867"
"2205","Normal/Others","WS/MP165/2024-2025/96027-Street lights","Tamil Nadu","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Construction of Mini mast light at Ward No.12, near Keelaperiya palli vasal","Shri P. Chidambaram (2022-28) (NaN-NaN)","Elected MP","Images","26-Jun-2024","491278"
"2206","Normal/Others","WS/MP165/2024-2025/96081-Street lights","Tamil Nadu","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","construction of Mini mast light near sree ram nagar out post police station in ward no 13","Shri P. Chidambaram (2022-28) (NaN-NaN)","Elected MP","Images","26-Jun-2024","486491"
"2207","Normal/Others","WS/MP183/2023-2024/94829-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","FIROZABAD(DISTRICT MAGISTRATE FIROZABAD_IDA)","BLOCK- TUNDLA. GRAM PANCHAYAT TIKRI BYPASS PAR RAKESH YADAV KE GHAR SE PHORAN SINGH KE GHAR TAK INTERLOCKING WORKS . LENGTH= 200 MTRs.  COST=16 LAKH. C/o MANVENDRA SINGH, CONTACT NO.- 7906537257.","Prof. Ram Gopal Yadav (2020-26) (NaN-NaN)","Elected MP","Images","19-Feb-2025","1599671"
"2208","Normal/Others","WS/MP183/2023-2024/84999-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","FIROZABAD(DISTRICT MAGISTRATE FIROZABAD_IDA)","BLOCK FIROZABAD. MOHALLA  SATYA NAGAR TAPA, BAMBA BYE PASS ROAD, FIROZABAD MEIN KRISHAN KANT KE GHAR SE KEDARILAL GOLA KE GHAR TAK, INTERLOCKING  WORK.  LENGTH = 50 Meter. Cost. 4 Lac.  C/o Anar Singh Diwakar, Contact No.-  94122 65543.","Prof. Ram Gopal Yadav (2020-26) (NaN-NaN)","Elected MP","Images","19-Feb-2025","399614"
"2209","Normal/Others","WS/MP839/2023-2024/13023-Construction of community centers and community halls","Jammu And Kashmir","JAMMU(DEPUTY COMMISSIONER JAMMU_IDA)","Upgradtion of main dome of fiber sheets(uv protected sheets)","Shri Gulam Ali (2022-28) (NaN-NaN)","Elected MP","Images","07-Aug-2024","1906475"
"2210","Normal/Others","WS/MP131/2023-2024/75779-Development of playground","Odisha","Nayagada(DISTRICT COLLECTOR  NAYAGARH_IDA)","Provision for Flood Light South West side at Play Ground (Khelapadia), Nayagarh Municipality","Dr. Sasmit Patra (2022-28) (NaN-NaN)","Elected MP","Images","26-Jun-2024","500000"
"2211","Normal/Others","WS/MP131/2023-2024/107174-Development of playfields and sports grounds","Odisha","Nayagada(DISTRICT COLLECTOR  NAYAGARH_IDA)","Provision for Flood Light North West Side at Playground (Khelapadia) - Nayagarh Municipality","Dr. Sasmit Patra (2022-28) (NaN-NaN)","Elected MP","Images","26-Jun-2024","500000"
"2212","Normal/Others","WS/MP165/2024-2025/96082-Street lights","Tamil Nadu","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","construction of Mini mast light near main road, vasantha maligai bus stop in ward no 6","Shri P. Chidambaram (2022-28) (NaN-NaN)","Elected MP","Images","26-Jun-2024","482227"
"2213","Normal/Others","WS/MP183/2023-2024/120882-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","FIROZABAD(DISTRICT MAGISTRATE FIROZABAD_IDA)","BLOCK- NARKHI. GRAM PANCHAYAT KAITHA. NAGLA GUJRIYA (Nagla Noji) MEIN CHANDRA PAL SINGH KE GHAR SE  NAGLA BADE MOD TAK INTERLOCKING WORK. LENGTH 450 Mtrs. COST- 36 LAKH. Contact No.- Vineet Kumar- 7017937357","Prof. Ram Gopal Yadav (2020-26) (NaN-NaN)","Elected MP","Images","19-Feb-2025","3598754"
"2214","Normal/Others","WS/MP190/2023-2024/18880-Installing community drinking water plants","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Construction Work of Water Tank With Submer Sible Pump","Shri Mithlesh Kumar (2022-28) (NaN-NaN)","Elected MP","N/A","23-Jun-2025",""
"2215","Normal/Others","WS/MP190/2023-2024/18879-Installing community drinking water plants","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Construction Work of Water tank With Submer Sible Pump","Shri Mithlesh Kumar (2022-28) (NaN-NaN)","Elected MP","N/A","23-Jun-2025","223498"
"2216","Normal/Others","WS/MP190/2023-2024/18878-Installing community drinking water plants","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Construction Work of Water tank With Submer Sible Pump","Shri Mithlesh Kumar (2022-28) (NaN-NaN)","Elected MP","N/A","23-Jun-2025","223498"
"2217","Normal/Others","WS/MP192/2023-2024/13278-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","SAHARANPUR(DISTRICT MAGISTRAE SAHARANPUR_IDA)","Cc Road. 140 mrt. Bahadarpur me main Road se Bhumika khera tak. Rural Engineering Depatment Saharanpur.","Shri Surendra Singh Nagar (2022-28) (NaN-NaN)","Elected MP","Images","08-Aug-2024","863968"
"2218","Normal/Others","WS/MP192/2023-2024/13276-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","SAHARANPUR(DISTRICT MAGISTRAE SAHARANPUR_IDA)","Cc Road. 114 mrt. Sanpli me  kulveer ke ghar se prathmik school tak. Rural Engineering Depatment Saharanpur","Shri Surendra Singh Nagar (2022-28) (NaN-NaN)","Elected MP","Images","21-Nov-2024","915616"
"2219","Normal/Others","WS/MP192/2023-2024/13277-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","SAHARANPUR(DISTRICT MAGISTRAE SAHARANPUR_IDA)","Cc Road. 124 mrt. Saurana me Ambala Road se  Madan ke ghar tak. Rural Engineering Depatment Saharanpur.","Shri Surendra Singh Nagar (2022-28) (NaN-NaN)","Elected MP","N/A","23-Jul-2024","1118557"
"2220","Normal/Others","WS/MP192/2023-2024/13279-Construction of buildings for community cultural activities","Uttar Pradesh","SAHARANPUR(DISTRICT MAGISTRAE SAHARANPUR_IDA)","Cc Road. shmshanghat. Jagheta Guzzar me shmshanghat ki chat or Soundarya karan ka nirmar. Contact- Lokesh gujjar 8273980426","Shri Surendra Singh Nagar (2022-28) (NaN-NaN)","Elected MP","Images","09-Nov-2024","500153"
"2221","Normal/Others","WS/MP001/2023-2024/28834-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","SITAMARHI(DISTRICT PLANNING OFFICER SITAMARHI_IDA)","Construction work of pcc road from Budhwa pokhar to Dhunia tola main road in village shrirampur(ward no-7) of nagar utri panchyat of block parihar , distric-sitamarhi","Shri Shambhu Sharan Patel (2022-28) (NaN-NaN)","Elected MP","N/A","27-Jun-2024","1482172"
"2222","Normal/Others","WS/MP850/2023-2024/100866-Construction of Government office buildings (Post office, Police station, Police chauki, etc.)","Uttarakhand","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","KOTWALI LAKSAR MEIN MAHILA HELP DESK HETU ROOM EVAM TOILET KA NIRMAN.. IA(KARYADAI SANSTATHA )- NAGAR PANCHAYAT PADALI GUJJAR","Shri Naresh Bansal (2020-26) (NaN-NaN)","Elected MP","Images","05-Feb-2025","990952"
"2223","Normal/Others","WS/MP850/2023-2024/100867-Construction of Government office buildings (Post office, Police station, Police chauki, etc.)","Uttarakhand","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","GRAM PANCHAYAT KHANPUR ,VIKASKHAND KHANPUR KE THANA KHANPUR MEIN MAHILA HELP DESK HETU ROOM EVAM TOILET KA NIRMAN.. IA(KARYADAI SANSTATHA )- NAGAR PANCHAYAT PADALI GUJJAR","Shri Naresh Bansal (2020-26) (NaN-NaN)","Elected MP","Images","27-Apr-2026","992793"
"2224","Normal/Others","WS/MP850/2023-2024/100868-Construction of Government office buildings (Post office, Police station, Police chauki, etc.)","Uttarakhand","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","KOTWALI ROORKEE MEIN MAHILA HELP DESK HETU ROOM EVAM TOILET KA NIRMAN .. IA( KARYADAI SANSTATHA ) - NAGAR PANCHAYAT PADALI GUJJAR","Shri Naresh Bansal (2020-26) (NaN-NaN)","Elected MP","Images","05-Feb-2025","945414"
"2225","Normal/Others","WS/MP052/2023-2024/92299-Fitting of Sitting RCC Benches in Public Places","Bihar","PASHCHIM CHAMPARAN(DISTRICT PLANNING OFFICER WEST CHAMPARANBETTIAH_IDA)","Construction of platform on public land near the place of Naga Baba in village Bhabhata Kuti Tola of Gram Panchayat State Bhabhata of Block Narkatiaganj. Estimated Amount Rs. 262000.","Shri Satish Chandra Dubey (2022-28) (NaN-NaN)","Elected MP","N/A","16-Dec-2024","259071"
"2226","Normal/Others","WS/MP183/2023-2024/119974-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","FIROZABAD(DISTRICT MAGISTRATE FIROZABAD_IDA)","BLOCK-FIROZABAD.   GRAM  PANCHAYAT  ALLAHDADPUR  MEIN  VIRBHAN  SINGH KE KHET SE  ALLAHDADPUR-SIKAHARA  MARG  TAK  INTERLOCKING WORK.  LENGTH 900 Mtrs.X 4Mtr. Width. COST- 70 LAKH.  CONTACT No. Arvind Kumar-   9410683425","Prof. Ram Gopal Yadav (2020-26) (NaN-NaN)","Elected MP","Images","19-Feb-2025","6990753"
"2227","Normal/Others","WS/MP166/2024-2025/113031-Construction of community centers and community halls","Tamil Nadu","NAMAKKAL(DISTRICT COLLECTOR NAMAKKAL_IDA)","Construction of PD Shop at Periyappatty -2, Namakkal Municpal","Shri K.R.N. Rajeshkumar (2022-28) (NaN-NaN)","Elected MP","Images","29-Jun-2024","1459000"
"2228","Normal/Others","WS/MP850/2023-2024/107469-Construction of buildings for community cultural activities","Uttarakhand","CHAMPAWAT(DISTRICT MAGISTRATE CHAMPAWAT_IDA)","CONSTRUCTION OF STAGE IN BASUN TOK OF VILLAGE JAWLARI IA(KARYADI SANASTATHA )- BLOCK PATI","Shri Naresh Bansal (2020-26) (NaN-NaN)","Elected MP","Images","19-Sep-2024","250000"
"2229","Normal/Others","WS/MP850/2023-2024/107468-Construction of buildings for community cultural activities","Uttarakhand","CHAMPAWAT(DISTRICT MAGISTRATE CHAMPAWAT_IDA)","CONSTRUCTION OF PILLAR ALONG WITH SITE RECLAMATION IN BASUN TOK OF VILLAGE JAWLARI IA(KARYADAI SANSTATHA ) - BLOCK PATI","Shri Naresh Bansal (2020-26) (NaN-NaN)","Elected MP","Images","19-Sep-2024","249931"
"2230","Normal/Others","WS/MP053/2023-2024/43858-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","MUNGER(DISTRICT PLANNING OFFICER MUNGER_IDA)","CONSTRUCTION OF PCC ROAD FROM RAJENDRA YADAV HOUSE TO NISHO YADAV IN ORA BAGICHA DHARAHARA","Shri Khiru Mahto (2022-28) (NaN-NaN)","Elected MP","Images","29-Jun-2024","494293"
"2231","Normal/Others","WS/MP166/2024-2025/126272-Installing tube-wells and borewells","Tamil Nadu","NAMAKKAL(DISTRICT COLLECTOR NAMAKKAL_IDA)","Drilling of New borewell and supply and erection of Submergible motor with accessories at Ondikadi Kalaignar Nagar, Eswaramoorthipalayam, Namagripet Block","Shri K.R.N. Rajeshkumar (2022-28) (NaN-NaN)","Elected MP","Images","29-Jun-2024","513352"
"2232","Normal/Others","WS/MP053/2023-2024/43934-Construction of buildings for community cultural activities","Bihar","MUNGER(DISTRICT PLANNING OFFICER MUNGER_IDA)","CONSTRUCTION OF SIRHI GHAT BEHIND C B L COLLEGE IN PARIA PANCHAYAT","Shri Khiru Mahto (2022-28) (NaN-NaN)","Elected MP","Images","29-Jun-2024","448217"
"2233","Normal/Others","WS/MP053/2023-2024/43911-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","MUNGER(DISTRICT PLANNING OFFICER MUNGER_IDA)","CONSTRUCTION OF PCC ROAD FROM MUKESH MANDAL HOUSE TO RAJARAM GUPTA HOUSE IN WARD 14 ITAHRI PANCHAYAT","Shri Khiru Mahto (2022-28) (NaN-NaN)","Elected MP","Images","29-Jun-2024","387537"
"2234","Normal/Others","WS/MP053/2023-2024/43935-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","MUNGER(DISTRICT PLANNING OFFICER MUNGER_IDA)","CONSTRUCTION OF PCC ROAD FROM BISWARI SAH HOUSE TO BANO YADAV HOUSE VIA MURARI YADAV AND GUDDU YADAV HOUSE IN BARIYARPUR","Shri Khiru Mahto (2022-28) (NaN-NaN)","Elected MP","Images","29-Jun-2024","399656"
"2235","Normal/Others","WS/MP099/2024-2025/132780-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","PATHANAMTHITTA(DISTRICT COLLECTOR PATHANAMTHITTA_IDA)","Construction of the remaining portion of the concreted road (starting from School Padi) that remains as Earthen Road from RemaSivan Padi to Moozhickal Mohanan Padi in Ward. No. X of Naranammoozhy GP (ST)","Dr. John Brittas (2021-27) (NaN-NaN)","Elected MP","Images","01-Jul-2024","1162112"
"2236","Normal/Others","WS/MP078/2023-2024/102819-Construction of footpaths and pedestrian ways","Himachal Pradesh","KANGRA(DEPUTY COMMISSIONER KANGRA_IDA)","Construction of Pacca Path with retaining wall/Danga from Naked Khad Bridge to Guga Madi Mandola Via Jaswant Singh House at Vill. Tali, G.P. . Lagru, Tehsil Khundian, Dev. Block Dehra Distt. Kangra (H.P.) (Executing Agency BDO Dehra District Kangra)","Dr. Sikander Kumar (2022-28) (NaN-NaN)","Elected MP","Images","03-Feb-2026","500000"
"2237","Normal/Others","WS/MP165/2024-2025/96034-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","construction of pavor block road at Sakkarai ambalam street in ward no 10","Shri P. Chidambaram (2022-28) (NaN-NaN)","Elected MP","N/A","19-Jul-2024","400000"
"2238","Normal/Others","WS/MP052/2023-2024/92282-Fitting of Sitting RCC Benches in Public Places","Bihar","PASHCHIM CHAMPARAN(DISTRICT PLANNING OFFICER WEST CHAMPARANBETTIAH_IDA)","Construction of platform on public land near Mai Sthan in village Siswa Tola ward number 13 of Gram Panchayat State Sherhwa of Block Narkatiaganj. Estimated Amount Rs. 262000.","Shri Satish Chandra Dubey (2022-28) (NaN-NaN)","Elected MP","N/A","16-Dec-2024","258819"
"2239","Normal/Others","WS/MP106/2023-2024/10167-Purchase of mobile water tankers","Madhya Pradesh","SHAJAPUR(District Collector Shajapur_IDA)","Gram Panchayat Ganeshpur, Janpad Panchayat Kalapipal hetu 1 water Tanker 5500 Liters watar Capacity with 9.00X16 no. ke new tyre tube sahit, Vidhan sabha 169-Kalapipal, District Shajapur (mention in letter no. 3176 column no.1)","Shri Vivek K. Tankha (2022-28) (NaN-NaN)","Elected MP","N/A","29-Nov-2024","154379"
"2240","Normal/Others","WS/MP106/2023-2024/10169-Purchase of mobile water tankers","Madhya Pradesh","SHAJAPUR(District Collector Shajapur_IDA)","Gram Panchayat Kolwa, Janpad Panchayat Kalapipal hetu 1 water Tanker 5500 Liters watar Capacity with 9.00X16 no. ke new tyre tube sahit, Vidhan sabha 169-Kalapipal, District Shajapur (mention in letter no. 3176 column no.2)","Shri Vivek K. Tankha (2022-28) (NaN-NaN)","Elected MP","N/A","29-Nov-2024","154379"
"2241","Normal/Others","WS/MP106/2023-2024/10170-Purchase of mobile water tankers","Madhya Pradesh","SHAJAPUR(District Collector Shajapur_IDA)","Gram Panchayat Lasu patla, Janpad Panchayat Kalapipal hetu 1 water Tanker 5500 Liters watar Capacity with 9.00X16 no. ke new tyre tube sahit, Vidhan sabha 169-Kalapipal, District Shajapur (mention in letter no. 3176 column no.3)","Shri Vivek K. Tankha (2022-28) (NaN-NaN)","Elected MP","N/A","29-Nov-2024","154379"
"2242","Normal/Others","WS/MP106/2023-2024/10179-Purchase of mobile water tankers","Madhya Pradesh","SHAJAPUR(District Collector Shajapur_IDA)","Gram Panchayat Mandela Khedi , Janpad Panchayat Kalapipal hetu 1 water Tanker 5500 Liters watar Capacity with 9.00X16 no. ke new tyre tube sahit, Vidhan sabha 169-Kalapipal, District Shajapur (mention in letter no. 3176 column no.4)","Shri Vivek K. Tankha (2022-28) (NaN-NaN)","Elected MP","N/A","29-Nov-2024","154379"
"2243","Normal/Others","WS/MP106/2023-2024/10180-Purchase of mobile water tankers","Madhya Pradesh","SHAJAPUR(District Collector Shajapur_IDA)","Gram Panchayat Unchod, Janpad Panchayat Shujalpur hetu 1 water Tanker 5500 Liters watar Capacity with 9.00X16 no. ke new tyre tube sahit, Vidhan sabha 169-Kalapipal, District Shajapur (mention in letter no. 3176 column no.5)","Shri Vivek K. Tankha (2022-28) (NaN-NaN)","Elected MP","N/A","29-Nov-2024","154379"
"2244","Normal/Others","WS/MP106/2023-2024/10191-Purchase of mobile water tankers","Madhya Pradesh","SHAJAPUR(District Collector Shajapur_IDA)","Gram Panchayat Khargonkhurd, Janpad Panchayat Kalapipal hetu 1 water Tanker 5500 Liters watar Capacity with 9.00X16 no. ke new tyre tube sahit, Vidhan sabha 169-Kalapipal, District Shajapur (mention in letter no. 3176 column no.6)","Shri Vivek K. Tankha (2022-28) (NaN-NaN)","Elected MP","N/A","29-Nov-2024","154379"
"2245","Normal/Others","WS/MP106/2023-2024/16113-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","RATLAM(District Collector Ratlam_IDA)","Nagar Panchayt parishd Alot, Ratlam M.P. main Shri Khedapati Hanuman Mandir ke pas Teen Shade nirman hetu, Vidhan sabha Alot, District Ratlam","Shri Vivek K. Tankha (2022-28) (NaN-NaN)","Elected MP","Images","22-Aug-2024","500000"
"2246","Normal/Others","WS/MP140/2023-2024/71704-Purchase of mobile water tankers","Punjab","JALANDHAR(DEPUTY COMMISSIONER JALANDHAR_IDA)","Regarding for giving single walled fabrication of 5000ltr water tanker to Village Sarai Kham. 2mm stainless sheet AISI 304 Material etc. (SC)","Shri Sant Balbir Singh (2022-28) (NaN-NaN)","Elected MP","Images","11-Aug-2025","336300"
"2247","Normal/Others","WS/MP053/2023-2024/120076-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","CONSTRUCTION OF PCC ROAD FROM THE HOUSE OF DHIRENDRA KUMAR TO THE HOUSE OF RAVISHANKAR JEE","Shri Khiru Mahto (2022-28) (NaN-NaN)","Elected MP","N/A","02-Sep-2024","1479000"
"2248","Normal/Others","WS/MP001/2023-2024/33338-Providing drains and gutters for public drainage","Bihar","PURBI CHAMPARAN(DISTRICT PLANNING OFFICER MOTHIHARI EAST CHAMPARAN_IDA)","Construction work of a Concrete Drain towards the canal from the house of Paras Thakur in Shrikhandi village of Bagahi Panchayat under Sugauli block of East Champaran district (Estimated Amount up to  Seven lakhs).","Shri Shambhu Sharan Patel (2022-28) (NaN-NaN)","Elected MP","N/A","04-Jul-2024","696091"
"2249","Normal/Others","WS/MP099/2024-2025/132661-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Construction of Valora-Vayalarambu-Pannimoola Road, Iritty Municipality, Kannur District","Dr. John Brittas (2021-27) (NaN-NaN)","Elected MP","Images","04-Jul-2024","2464470"
"2250","Normal/Others","WS/MP166/2024-2025/125567-Construction of veterinary hospitals and dispensaries","Tamil Nadu","NAMAKKAL(DISTRICT COLLECTOR NAMAKKAL_IDA)","Construction of sheep and goat shed and infectious animal shed in the New hospital campus of Veterinary college and Research Institute, Lathuvadi campus","Shri K.R.N. Rajeshkumar (2022-28) (NaN-NaN)","Elected MP","Images","13-Jul-2024","516948"
"2251","Normal/Others","WS/MP166/2024-2025/125566-Construction of veterinary hospitals and dispensaries","Tamil Nadu","NAMAKKAL(DISTRICT COLLECTOR NAMAKKAL_IDA)","Construction of In Patient cattle shed and farmer resting shed in North western area of Veterinary college and Research Institute New hospital campus, Lattuvadi, Namakkal","Shri K.R.N. Rajeshkumar (2022-28) (NaN-NaN)","Elected MP","Images","13-Jul-2024","898726"
"2252","Normal/Others","WS/MP053/2023-2024/43901-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","MUNGER(DISTRICT PLANNING OFFICER MUNGER_IDA)","CONSTRUCTION OF PCC ROAD FROM BISHNUDEV YADAV HOUSE TO SUNIL YADAV HOUSE IN WARD 43","Shri Khiru Mahto (2022-28) (NaN-NaN)","Elected MP","Images","04-Jul-2024","398449"
"2253","Normal/Others","WS/MP053/2023-2024/43941-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","MUNGER(DISTRICT PLANNING OFFICER MUNGER_IDA)","CONSTRUCTION OF PCC ROAD FROM PINTU SINGH HOUSE TO KEDAR MANDAL HOUSE VIA AWDESH SINGH HOUSE IN WARD 08 KARHRIA SOUTH KHARIA","Shri Khiru Mahto (2022-28) (NaN-NaN)","Elected MP","Images","04-Jul-2024","394859"
"2254","Normal/Others","WS/MP053/2023-2024/43914-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","MUNGER(DISTRICT PLANNING OFFICER MUNGER_IDA)","CONSTRUCTION OF PCC ROAD FROM BOKU YADAV TO KAPIL YADAV GODOWN IN SHANKARPUR PANCHAYAT","Shri Khiru Mahto (2022-28) (NaN-NaN)","Elected MP","Images","04-Jul-2024","346702"
"2255","Normal/Others","WS/MP084/2024-2025/38107-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","CC Road works, Hesaraghatta Grama Panchayat, Yelahanka Taluk, Bangalore Urban","Shri Jaggesh (2022-28) (NaN-NaN)","Elected MP","N/A","04-Jul-2024","498227"
"2256","Normal/Others","WS/MP084/2024-2025/38106-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","CC Road work, Hesaraghatta Grama Panchayat, Yelahanka Taluk, Bangalore Urban.","Shri Jaggesh (2022-28) (NaN-NaN)","Elected MP","N/A","04-Jul-2024","498200"
"2257","Normal/Others","WS/MP084/2024-2025/38105-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","CC Road works, Hesaraghatta Grama Panchayat, Yelahanka Taluk, Bangalore Urban.","Shri Jaggesh (2022-28) (NaN-NaN)","Elected MP","N/A","04-Jul-2024","499200"
"2258","Normal/Others","WS/MP084/2024-2025/38104-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","CC Road Works, Hesaraghatta Grama Panchayat, Yelahanka Taluk, Bangalore Urban","Shri Jaggesh (2022-28) (NaN-NaN)","Elected MP","N/A","04-Jul-2024","499200"
"2259","Normal/Others","WS/MP084/2024-2025/38103-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","CC Road works, Hesaraghatta Grama Panchayat, Yelahanka Taluk, Bangalore Urban","Shri Jaggesh (2022-28) (NaN-NaN)","Elected MP","N/A","04-Jul-2024","499223"
"2260","Normal/Others","WS/MP084/2024-2025/38083-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","CC Road Works, Ward No.6, Hesaraghatta Grama Panchayat, Yelahanka Taluk, Banglaore Urban","Shri Jaggesh (2022-28) (NaN-NaN)","Elected MP","N/A","04-Jul-2024","499000"
"2261","Normal/Others","WS/MP084/2024-2025/38084-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","CC Road Works, Ward No.6, Hesaraghatta Grama Panchayat, Yelhanka Taluk, Bangalore Urban","Shri Jaggesh (2022-28) (NaN-NaN)","Elected MP","N/A","04-Jul-2024","498452"
"2262","Normal/Others","WS/MP084/2024-2025/38085-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","CC Road works, Ward No.6, Hesaraghatta Grama Panchayat, Yelahanka Taluk, Banglore Urban","Shri Jaggesh (2022-28) (NaN-NaN)","Elected MP","N/A","04-Jul-2024","499095"
"2263","Normal/Others","WS/MP084/2024-2025/38086-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","CC Road works, Kodagi Thirumalapura Village, Hurulichikkanahalli Grama Panchayat, Yelahanka Taluk, Bangalore Urban.","Shri Jaggesh (2022-28) (NaN-NaN)","Elected MP","N/A","04-Jul-2024","499000"
"2264","Normal/Others","WS/MP053/2023-2024/43923-Construction of buildings for community cultural activities","Bihar","MUNGER(DISTRICT PLANNING OFFICER MUNGER_IDA)","CONSTRUCTION OF SIRHI AND BEAUTIFICATION IN TALAB BEHIND NAUGARHI HIGH SCHOOL","Shri Khiru Mahto (2022-28) (NaN-NaN)","Elected MP","Images","05-Jul-2024","448396"
"2265","Normal/Others","WS/MP052/2024-2025/93008-Fitting of Sitting RCC Benches in Public Places","Bihar","PASHCHIM CHAMPARAN(DISTRICT PLANNING OFFICER WEST CHAMPARANBETTIAH_IDA)","Construction of a platform on public land in ward number 1 of village Vriti Matiaria of village panchayat Gobraura of block Lauria. Estimated Amount Rs. - 262000.","Shri Satish Chandra Dubey (2022-28) (NaN-NaN)","Elected MP","N/A","20-Sep-2024","225310"
