"Sr. No.","Work Category","Work","State","IDA","Work Description","Hon'ble Members of Parliament","Elected/Nominated","Image","Completion Date","Amount Disbursed ( ₹ )"
"1205","Normal/Others","WS/MP140/2023-2024/35841-Purchase of mobile water tankers","Punjab","JALANDHAR(DEPUTY COMMISSIONER JALANDHAR_IDA)","Regarding for giving single walled fabrication of 5000ltr water tanker to Village Kang Kalan. 2mm stainless sheet AISI 304 Material etc. (SC)","Shri Sant Balbir Singh (2022-28) (NaN-NaN)","Elected MP","Images","22-Aug-2025","336300"
"1206","Normal/Others","WS/MP844/2023-2024/17502-Providing drains and gutters for public drainage","Punjab","S.A.S Nagar(DEPUTY COMMISSIONER SAHIBZADA AJIT SINGH NAGAR MOHALI_IDA)","One lakh rupees grant for construction of drain pipeline for waste water","Dr. Vikramjit Singh Sahney (2022-28) (NaN-NaN)","Elected MP","Images","16-Dec-2024","100000"
"1207","Normal/Others","WS/MP850/2023-2024/70508-Construction of rooms and halls in school and colleges","Uttarakhand","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","POLICE MORDERN SCHOOL,POLICE LINE ROSHNABAD ,WARD NO. - 13, NAGAR PALIKA SHIVALIK NAGAR  MEIN EK KAKSH KA NIRMAN.  IA ( KARYADAI SANSTATHA)-NAGAR PALIKA PARISHAD SHIVALIK NAGAR","Shri Naresh Bansal (2020-26) (NaN-NaN)","Elected MP","Images","09-Jan-2025","992510"
"1208","Normal/Others","WS/MP850/2023-2024/84726-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttarakhand","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","MAIN ROAD SE RAMKISHAN KE MAKAN KI AUR INTERLOCKING TILES SE SARAK  NIRMAN .. IA(KARYADAI SANSTATHA)-PAGAR PALIKA PRAISHAD ,SHIVALIK NAGAR","Shri Naresh Bansal (2020-26) (NaN-NaN)","Elected MP","Images","29-Jun-2024","760061"
"1209","Normal/Others","WS/MP850/2023-2024/84727-Construction of rooms and halls in school and colleges","Uttarakhand","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","SHRI GANDHI MAHILA SHILP VIDYALYA INTER COLLEGE ,ROORKEE MEIN CLASS ROOM KA NIRMAN .. IA( KARYADAI SANSTATHA) - NAGAR PALIKA PARISHAD SHIVALIK NAGAR","Shri Naresh Bansal (2020-26) (NaN-NaN)","Elected MP","Images","27-Oct-2025","1984000"
"1210","Normal/Others","WS/MP850/2023-2024/25565-Construction of rooms and halls in school and colleges","Uttarakhand","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","construction of one additional room at ""VATSALYA VATIKA""HOSTEL in village BHADRABAD ,BLOCK BHADRABAD  IA(KARYADAI SANSTATHA)-NAGAR PALIKA PARISHAD SHIWALIKNAGAR","Shri Naresh Bansal (2020-26) (NaN-NaN)","Elected MP","Images","28-Jun-2024","1144250"
"1211","Normal/Others","WS/MP106/2023-2024/1636-Installing tube-wells and borewells","Madhya Pradesh","JABALPUR(DISTRICT COLLECTOR JABALPUR_IDA)","Installation of tubewell including 1000 leter of water tank with 2HP pump at gram panchayat kakarhata, janpad panchayat patan at Nahandevi colony vidhansabha Patan, District jabalpur","Shri Vivek K. Tankha (2022-28) (NaN-NaN)","Elected MP","Images","31-Jul-2024","152914"
"1212","Normal/Others","WS/MP103/2023-2024/34645-Installation of fixed garden gym equipment","Madhya Pradesh","INDORE(DISTRICT COLLECTOR INDORE_IDA)","Installation of Fixed Garden Open gym equipment in Mahavidhyalayin SC Boys Hostel in Dongargaon Block Mhow District Indore","Dr. Kavita Patidar (2022-28) (NaN-NaN)","Elected MP","Images","17-Feb-2024","696867"
"1213","Repair and Renovation","WS/MP146/2023-2024/10975-Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","Rajasthan","HANUMANGARH(DISTRICT COLLECTOR HANUMANGARH_IDA)","Construction of Iron shade of cemetery/graveyard (Kabristan) at Gram Panchayat Deidas, P.S. Nohar","Shri Mukul Wasnik (2022-28) (NaN-NaN)","Elected MP","Images","26-Jan-2025","700000"
"1214","Normal/Others","WS/MP103/2023-2024/34643-Installation of fixed garden gym equipment","Madhya Pradesh","INDORE(DISTRICT COLLECTOR INDORE_IDA)","Installation of Fixed Garden Open gym equipment in ST  Boys Ashram (1-8) in Patalpani  Block Mhow District Indore","Dr. Kavita Patidar (2022-28) (NaN-NaN)","Elected MP","Images","17-Feb-2024","696867"
